"","State.Conservation.Rank","Rank1","Rank2","Rank3"
"1","S5","5",NA,NA
"2","S4","4",NA,NA
"10","S2S3","2","3",NA
"11","S3B,S1N","3B,","1N",NA
"12","SNA","NA",NA,NA
"13","S3","3",NA,NA
"15","S1S2","1","2",NA
"25","S3S4","3","4",NA
"27","SNRN","NRN",NA,NA
"28","SH","H",NA,NA
"29","S1","1",NA,NA
"31","S5B","5B",NA,NA
"34","S4B","4B",NA,NA
"53","S2S3B,SNRN","2","3B,","NRN"
"56","S3B,SNRN","3B,","NRN",NA
"79","S3B","3B",NA,NA
"84","S3S4B,S3N","3","4B,","3N"
"90","S3B,S3N","3B,","3N",NA
"93","S2S3B,S2N","2","3B,","2N"
"107","S3S4B","3","4B",NA
"122","S1B","1B",NA,NA
"156","S2?B","2?B",NA,NA
"167","S2B","2B",NA,NA
"170","S3?B","3?B",NA,NA
"199","SU","U",NA,NA
"205","S1S3","1","3",NA
"217","S2S4","2","4",NA
"230","S2?","2?",NA,NA
"233","S2S3B","2","3B",NA
"241","S2","2",NA,NA
"244","S4S5","4","5",NA
"333","SX","X",NA,NA
"662","S1N","1N",NA,NA
"803","S1?","1?",NA,NA
"1468","S3?","3?",NA,NA
"1579","S3S4N","3","4N",NA
"2813","SNAB,S3N","NAB,","3N",NA
"2859","SNAB","NAB",NA,NA
"3027","SNR","NR",NA,NA
"4089","SHB,S1N","HB,","1N",NA
"4451","SNRB","NRB",NA,NA
"7581","S2S3M","2","3M",NA
"16509","S1B,S3?N","1B,","3?N",NA
